region,city,district,population,wkt
منطقة مكة المكرمة,مكة المكرمة,حي العوالي,43,"POLYGON ((39.954007 21.31323, 39.953814 21.31262, 39.953145 21.312704, 39.953056 21.312487, 39.953223 21.312269, 39.952694 21.311661, 39.952923 21.311443, 39.95257 21.310812, 39.953084 21.310251, 39.953485 21.310485, 39.953778 21.310404, 39.953555 21.310049, 39.953858 21.309655, 39.953561 21.309263, 39.953706 21.309006, 39.954459 21.308677, 39.954478 21.308285, 39.954946 21.307952, 39.954883 21.307872, 39.956101 21.307326, 39.955359 21.306268, 39.955144 21.306234, 39.955295 21.306161, 39.953084 21.302566, 39.951869 21.303286, 39.951525 21.303165, 39.951903 21.302374, 39.952262 21.300606, 39.95081 21.300021, 39.95098 21.299277, 39.950637 21.298465, 39.950562 21.297736, 39.950033 21.296985, 39.949636 21.296955, 39.949559 21.296715, 39.949724 21.296385, 39.948724 21.29597, 39.948932 21.294917, 39.94809 21.29485, 39.947894 21.294624, 39.948004 21.294259, 39.947557 21.29411, 39.947663 21.293986, 39.947305 21.293309, 39.946693 21.293066, 39.946389 21.292408, 39.94612 21.292624, 39.945787 21.292447, 39.945668 21.292046, 39.946065 21.291802, 39.945665 21.291258, 39.945704 21.29096, 39.945978 21.290965, 39.945969 21.290738, 39.947268 21.290419, 39.947057 21.290251, 39.947641 21.288778, 39.94583 21.288387, 39.945743 21.287523, 39.946226 21.287288, 39.945628 21.286751, 39.945599 21.286471, 39.945639 21.286275, 39.946136 21.286713, 39.946169 21.286389, 39.946008 21.286234, 39.946317 21.286294, 39.946364 21.286143, 39.945968 21.285809, 39.946554 21.284477, 39.945005 21.283514, 39.943366 21.282135, 39.941418 21.279729, 39.940549 21.278108, 39.93752 21.270472, 39.936797 21.269168, 39.935337 21.267111, 39.933155 21.271712, 39.92713 21.281772, 39.924829 21.2853, 39.924013 21.286308, 39.922925 21.287231, 39.921414 21.287932, 39.919661 21.288301, 39.917417 21.288246, 39.915866 21.288445, 39.913827 21.289295, 39.912631 21.290241, 39.911935 21.291063, 39.91052 21.293427, 39.909527 21.294633, 39.903116 21.29955, 39.897998 21.304411, 39.895659 21.307754, 39.890578 21.314464, 39.886085 21.321808, 39.883927 21.324993, 39.879925 21.329581, 39.875936 21.333059, 39.872459 21.335473, 39.868314 21.337751, 39.861865 21.340594, 39.85965 21.342115, 39.857531 21.344339, 39.850613 21.353736, 39.860505 21.357461, 39.882096 21.360883, 39.883723 21.360911, 39.896823 21.362771, 39.917483 21.358371, 39.922571 21.357045, 39.925331 21.355752, 39.927621 21.354107, 39.939999 21.341137, 39.941323 21.33992, 39.943113 21.338684, 39.946904 21.336511, 39.962217 21.328879, 39.964341 21.327911, 39.967453 21.327032, 39.966063 21.324787, 39.965366 21.323926, 39.964767 21.323462, 39.960915 21.322133, 39.960101 21.321165, 39.959576 21.320178, 39.959454 21.3194, 39.956035 21.314774, 39.955256 21.314543, 39.955085 21.31411, 39.954344 21.313346, 39.954007 21.31323))"
منطقة الرياض,الرياض,الملقا,19,"POLYGON ((46.612715 24.786224, 46.592668 24.777799, 46.591508 24.777601, 46.590136 24.777682, 46.587077 24.778802, 46.586452 24.778877, 46.584877 24.778946, 46.582992 24.778801, 46.572507 24.774932, 46.568724 24.783271, 46.568025 24.785152, 46.564802 24.796841, 46.570799 24.798221, 46.572053 24.798779, 46.57316 24.799555, 46.574412 24.800997, 46.580192 24.810216, 46.581967 24.812145, 46.584089 24.81374, 46.586132 24.814797, 46.614113 24.826583, 46.630674 24.793783, 46.612715 24.786224))"
منطقة نجران,نجران,الفيصلية,227,"POLYGON ((44.202001 17.525122, 44.202235 17.523864, 44.195926 17.521845, 44.188636 17.516109, 44.188153 17.516444, 44.188153 17.517688, 44.187714 17.518501, 44.18659 17.51956, 44.181976 17.52063, 44.181722 17.520826, 44.181542 17.521402, 44.181576 17.522277, 44.182267 17.52351, 44.182496 17.523606, 44.183083 17.523396, 44.18406 17.523339, 44.18461 17.524013, 44.184228 17.525146, 44.184404 17.526076, 44.184575 17.526265, 44.184772 17.526211, 44.185059 17.525607, 44.1858 17.525988, 44.185774 17.525733, 44.186364 17.525407, 44.186446 17.524825, 44.192543 17.525858, 44.193468 17.526818, 44.193607 17.528303, 44.194065 17.52951, 44.19469 17.530447, 44.196087 17.531682, 44.197962 17.532455, 44.20054 17.532892, 44.202001 17.525122))"
منطقة نجران,نجران,المطار,239,"POLYGON ((44.419225 17.596697, 44.39274 17.582107, 44.383009 17.598502, 44.389104 17.601433, 44.453865 17.637348, 44.464092 17.621187, 44.436202 17.605739, 44.424605 17.599884, 44.419225 17.596697))"
منطقة الرياض,الخرج,الفيصلية,40,"POLYGON ((47.356833 24.151651, 47.355942 24.150881, 47.346996 24.159609, 47.35159 24.166228, 47.356073 24.170969, 47.357703 24.172295, 47.363104 24.166848, 47.368579 24.161753, 47.363055 24.15651, 47.356833 24.151651))"
الحدود الشمالية,عرعر,حى الصناعية الجديدة,119,"POLYGON ((40.949493 30.981354, 40.948594 30.979127, 40.938347 30.983499, 40.941046 30.989868, 40.936265 30.992675, 40.940309 30.997786, 40.944752 30.994166, 40.952425 30.987017, 40.951392 30.986014, 40.949493 30.981354))"
منطقة الرياض,الرياض,العقيق,21,"POLYGON ((46.635621 24.756088, 46.629331 24.753436, 46.612715 24.786224, 46.630674 24.793783, 46.64725 24.761, 46.635621 24.756088))"
منطقة تبوك,ضبا,النجيل,104,"POLYGON ((35.587949 27.681109, 35.589576 27.680824, 35.589755 27.679774, 35.589055 27.679268, 35.586714 27.678646, 35.586628 27.678911, 35.587185 27.67961, 35.588391 27.679803, 35.587849 27.680738, 35.587949 27.681109))"
منطقة الرياض,الرياض,الغدير,22,"POLYGON ((46.668376 24.769899, 46.64725 24.761, 46.640799 24.77372, 46.643233 24.779148, 46.660215 24.786283, 46.668376 24.769899))"
منطقة الرياض,الرياض,النرجس,20,"POLYGON ((46.654311 24.895592, 46.701182 24.819359, 46.700748 24.819136, 46.694708 24.819581, 46.692643 24.819384, 46.690721 24.818947, 46.688876 24.818291, 46.669843 24.810265, 46.589219 24.970006, 46.591143 24.970864, 46.592966 24.971943, 46.602743 24.979308, 46.654311 24.895592))"
منطقة مكة المكرمة,مكة المكرمة,حي المسفلة,66,"POLYGON ((39.825866 21.411401, 39.825988 21.410863, 39.825878 21.410563, 39.826119 21.410144, 39.826094 21.409347, 39.826498 21.409253, 39.826637 21.405593, 39.82628 21.405098, 39.826189 21.404617, 39.826437 21.404208, 39.826777 21.404054, 39.827033 21.403259, 39.826976 21.40275, 39.828105 21.39974, 39.827486 21.399497, 39.826554 21.398802, 39.825858 21.397533, 39.824765 21.397759, 39.819801 21.401453, 39.815994 21.402761, 39.817664 21.405191, 39.819062 21.408757, 39.821008 21.411321, 39.825866 21.411401))"
منطقة تبوك,تبوك,العليا,61,"POLYGON ((36.586835 28.379936, 36.582126 28.374216, 36.575948 28.378407, 36.580049 28.384148, 36.586261 28.392258, 36.594215 28.387155, 36.586835 28.379936))"
الحدود الشمالية,عرعر,حى المطار القديم,129,"POLYGON ((41.005544 30.989707, 41.008799 30.983829, 41.006172 30.981153, 41.005108 30.980459, 41.002947 30.979683, 41.00095 30.979485, 40.999165 30.979697, 40.981149 30.984926, 40.982186 30.986045, 40.983568 30.987143, 40.989073 30.990138, 40.989978 30.990781, 40.991166 30.992024, 40.992112 30.993833, 41.005544 30.989707))"
منطقة تبوك,تبوك,الفلاح,64,"POLYGON ((36.538678 28.462181, 36.537768 28.461507, 36.529868 28.468869, 36.543858 28.479915, 36.547958 28.48343, 36.553296 28.487248, 36.559914 28.479426, 36.538678 28.462181))"
منطقة مكة المكرمة,جدة,الزهراء,39,"POLYGON ((39.142733 21.574566, 39.13384 21.572139, 39.126432 21.572265, 39.126852 21.580163, 39.126683 21.582649, 39.126202 21.58465, 39.121282 21.599655, 39.121032 21.601831, 39.120936 21.606251, 39.141154 21.610894, 39.142012 21.605531, 39.143922 21.599695, 39.144289 21.598139, 39.144045 21.594956, 39.143264 21.574717, 39.142733 21.574566))"
