city,district,wealth_level,count,wkt
نجران,الصناعية,Lower Middle,4408,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
نجران,الصناعية,Middle,4300,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
الرياض,الياسمين,Lower Middle,458,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
جدة,البلد,Middle,832,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
جدة,البلد,Middle,832,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
مكة المكرمة,الشرائع,Upper Middle,1073,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
دومة الجندل,الوادي,Rich,3211,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
دومة الجندل,الوادي,Lower Middle,3302,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
ضبا,الطلعة الشمالية,Rich,2197,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
ضبا,الطلعة الشمالية,Lower Middle,2190,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
سكاكا,البستان,Poor,2130,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
الوجه,حي البلد,Lower Middle,2157,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
مكة المكرمة,الشرائع,Rich,1099,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
مكة المكرمة,النزهة,Rich,1096,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
الوجه,حي البلد,Middle,2139,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
ضبا,الطلعة الشمالية,Middle,2140,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
دومة الجندل,الوادي,Poor,3326,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
سكاكا,البستان,Middle,2164,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
نجران,الصناعية,Poor,4223,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
بلجرشي,الاحد,Poor,3291,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
مكة المكرمة,الشرائع,Poor,1065,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
جدة,البلد,Upper Middle,829,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
جدة,البلد,Upper Middle,829,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
مكة المكرمة,النزهة,Middle,1102,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
بلجرشي,الاحد,Middle,3210,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
سكاكا,البستان,Lower Middle,2116,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
جدة,البلد,Rich,842,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
جدة,البلد,Rich,842,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
الرياض,الياسمين,Middle,434,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
ضبا,الطلعة الشمالية,Upper Middle,2204,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
بلجرشي,الاحد,Rich,3320,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
مكة المكرمة,النزهة,Lower Middle,1119,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
سكاكا,البستان,Rich,2297,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
الوجه,حي البلد,Poor,2201,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
بلجرشي,الاحد,Lower Middle,3140,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
جدة,البلد,Poor,887,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
جدة,البلد,Poor,887,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
مكة المكرمة,الشرائع,Lower Middle,1017,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
ضبا,النجيل,Lower Middle,2179,"POLYGON ((35.587949 27.681109, 35.589576 27.680824, 35.589755 27.679774, 35.589055 27.679268, 35.586714 27.678646, 35.586628 27.678911, 35.587185 27.67961, 35.588391 27.679803, 35.587849 27.680738, 35.587949 27.681109))"
الرياض,الملز,Poor,456,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
الرياض,الملز,Middle,417,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
ضبا,النجيل,Rich,2177,"POLYGON ((35.587949 27.681109, 35.589576 27.680824, 35.589755 27.679774, 35.589055 27.679268, 35.586714 27.678646, 35.586628 27.678911, 35.587185 27.67961, 35.588391 27.679803, 35.587849 27.680738, 35.587949 27.681109))"
ضبا,النجيل,Upper Middle,2182,"POLYGON ((35.587949 27.681109, 35.589576 27.680824, 35.589755 27.679774, 35.589055 27.679268, 35.586714 27.678646, 35.586628 27.678911, 35.587185 27.67961, 35.588391 27.679803, 35.587849 27.680738, 35.587949 27.681109))"
جدة,الحمراء,Lower Middle,838,"POLYGON ((39.176889 21.541397, 39.179427 21.529401, 39.164026 21.523188, 39.165429 21.519844, 39.166515 21.515658, 39.161392 21.513791, 39.160084 21.511632, 39.159695 21.511956, 39.159256 21.512057, 39.159015 21.512338, 39.159111 21.512131, 39.158938 21.51233, 39.158675 21.512165, 39.15839 21.512363, 39.157071 21.511499, 39.158077 21.510067, 39.158339 21.509944, 39.158478 21.509528, 39.158313 21.509422, 39.158114 21.50957, 39.157882 21.508846, 39.157461 21.508894, 39.156837 21.509282, 39.156688 21.509697, 39.156876 21.510143, 39.156678 21.510406, 39.155654 21.509995, 39.15519 21.510097, 39.155066 21.51042, 39.155288 21.510991, 39.155296 21.511568, 39.154106 21.513431, 39.153293 21.515534, 39.153283 21.516525, 39.152585 21.517815, 39.152608 21.518392, 39.152183 21.519022, 39.151304 21.5211, 39.15015 21.521889, 39.149695 21.52236, 39.149676 21.522661, 39.150151 21.523228, 39.150468 21.524329, 39.151068 21.525113, 39.151592 21.525517, 39.15166 21.525756, 39.152665 21.526444, 39.155583 21.528992, 39.156376 21.530176, 39.15798 21.530176, 39.156488 21.530407, 39.157083 21.531137, 39.157211 21.532199, 39.156437 21.533454, 39.156116 21.53373, 39.156137 21.533978, 39.156378 21.533962, 39.156229 21.534397, 39.157119 21.534968, 39.168462 21.539619, 39.16987 21.54037, 39.176802 21.541771, 39.176889 21.541397))"
ضبا,النجيل,Poor,2154,"POLYGON ((35.587949 27.681109, 35.589576 27.680824, 35.589755 27.679774, 35.589055 27.679268, 35.586714 27.678646, 35.586628 27.678911, 35.587185 27.67961, 35.588391 27.679803, 35.587849 27.680738, 35.587949 27.681109))"
الرياض,الملز,Rich,427,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
