death_year,age_range,gender,nationality,marital_status_group,death_count
2016,21-40,F,مصري,Divorced,32
2017,0-10,F,امريكي,Divorced,32
2015,0-10,F,اماراتي,Divorced,31
2015,21-40,F,عراقي,Divorced,31
2013,11-20,M,سوداني,Married,31
2015,0-10,F,إسباني,Divorced,31
2013,0-10,M,إسباني,Married,31
2016,11-20,M,قطري,Married,31
2016,0-10,F,ألماني,Divorced,31
2012,21-40,F,قطري,Divorced,31
2010,61+,M,سعودي,Divorced,31
2014,21-40,F,عماني,Divorced,31
2015,0-10,F,فرنسي,Divorced,31
2016,0-10,M,عماني,Married,31
2013,0-10,F,امريكي,Divorced,31
2014,0-10,M,عراقي,Married,31
2011,0-10,M,لبناني,Married,31
2015,0-10,F,سوري,Divorced,31
2015,0-10,M,بريطاني,Divorced,31
2012,0-10,M,اماراتي,Married,31
2010,0-10,F,سوداني,Divorced,31
2016,0-10,M,فرنسي,Married,31
2013,0-10,F,إسباني,Divorced,31
2016,0-10,F,عراقي,Divorced,31
2017,21-40,F,امريكي,Divorced,31
2015,0-10,F,ياباني,Divorced,31
2014,21-40,F,ليبي,Divorced,31
2012,0-10,M,سوري,Married,31
2012,0-10,M,كويتي,Married,31
2012,21-40,M,ليبي,Married,31
2015,0-10,M,ألماني,Married,31
2017,0-10,M,ألماني,Divorced,31
2016,21-40,F,اماراتي,Divorced,31
2013,0-10,M,تركي,Married,31
2016,21-40,F,بريطاني,Divorced,31
2012,0-10,M,إيطالي,Married,31
2014,0-10,M,اماراتي,Married,31
2015,0-10,M,اماراتي,Divorced,31
2015,0-10,M,باكستاني,Divorced,31
2009,0-10,M,بريطاني,Married,30
2011,21-40,M,اماراتي,Married,30
2014,0-10,F,بريطاني,Divorced,30
2009,0-10,F,لبناني,Divorced,30
2009,0-10,F,صيني,Divorced,30
2010,0-10,M,تركي,Married,30
2014,0-10,M,بريطاني,Married,30
2012,21-40,F,إسباني,Divorced,30
2013,0-10,M,عراقي,Married,30
2015,0-10,F,ليبي,Divorced,30
2010,21-40,M,تونسي,Married,30
2016,21-40,M,اماراتي,Married,30
2013,0-10,F,فرنسي,Divorced,30
2016,0-10,M,بحريني,Divorced,30
2011,21-40,F,لبناني,Divorced,30
2017,21-40,F,بحريني,Divorced,30
2012,0-10,M,إسباني,Married,30
2012,0-10,F,بريطاني,Divorced,30
2015,21-40,F,بريطاني,Divorced,30
2013,21-40,F,قطري,Divorced,30
2010,21-40,M,ياباني,Married,30
2014,0-10,M,إسباني,Married,30
2009,21-40,F,ألماني,Divorced,30
2013,0-10,M,تونسي,Married,30
2016,0-10,M,كويتي,Divorced,30
2014,0-10,M,تركي,Married,30
2015,11-20,F,قطري,Divorced,30
2012,11-20,M,بريطاني,Married,30
2014,21-40,F,قطري,Divorced,30
2015,0-10,M,كويتي,Married,30
2012,0-10,M,ألماني,Married,30
2016,0-10,M,بحريني,Married,30
2014,0-10,M,تونسي,Married,30
2017,0-10,M,تركي,Married,30
2013,21-40,M,اماراتي,Married,30
2012,0-10,F,إسباني,Divorced,30
2013,0-10,M,عماني,Divorced,30
2016,21-40,M,تونسي,Married,30
2014,0-10,F,اماراتي,Divorced,30
2013,21-40,F,امريكي,Divorced,30
2012,0-10,M,هندي,Married,30
2017,21-40,M,إيطالي,Married,30
2010,21-40,M,هندي,Married,30
2016,0-10,F,إسباني,Divorced,30
2012,0-10,M,ليبي,Married,30
2013,0-10,F,اردني,Divorced,30
2010,0-10,F,اردني,Divorced,30
2014,21-40,M,ياباني,Married,30
2016,21-40,F,لبناني,Divorced,30
2015,0-10,M,بريطاني,Married,29
2011,0-10,F,اماراتي,Divorced,29
2014,0-10,M,فرنسي,Married,29
2010,0-10,F,قطري,Divorced,29
2015,21-40,F,لبناني,Divorced,29
2013,0-10,M,ألماني,Married,29
2014,21-40,M,إيطالي,Married,29
2016,0-10,M,صيني,Divorced,29
2012,41-60,M,ليبي,Married,29
2014,0-10,M,سوداني,Married,29
2011,21-40,F,ليبي,Divorced,29
2013,0-10,M,ليبي,Married,29
2015,21-40,M,هندي,Married,29
2017,21-40,M,سوري,Married,29
2016,0-10,M,مصري,Married,29
2014,0-10,M,ليبي,Married,29
2013,61+,M,سعودي,Single,29
2014,21-40,M,قطري,Married,29
2017,21-40,F,تونسي,Divorced,29
2009,0-10,M,صيني,Married,29
2011,0-10,F,تركي,Divorced,29
2013,0-10,F,عماني,Divorced,29
2014,21-40,F,صيني,Divorced,29
2012,0-10,F,سوداني,Divorced,29
2017,0-10,M,إسباني,Married,29
2013,0-10,M,اماراتي,Married,29
2017,21-40,M,عراقي,Married,29
2009,21-40,F,ليبي,Divorced,29
2013,0-10,F,اماراتي,Divorced,29
2014,0-10,M,إسباني,Divorced,29
2011,21-40,F,فرنسي,Divorced,29
2016,11-20,F,إسباني,Divorced,29
2012,0-10,M,بريطاني,Divorced,29
2013,11-20,M,هندي,Married,29
2011,0-10,F,ألماني,Divorced,29
2013,0-10,F,كويتي,Divorced,29
2012,0-10,M,عراقي,Married,29
2012,0-10,F,بحريني,Divorced,28
2013,0-10,M,عماني,Married,28
2016,21-40,M,لبناني,Married,28
2016,21-40,F,بحريني,Divorced,28
2015,0-10,M,اماراتي,Married,28
2016,21-40,M,ألماني,Married,28
2017,0-10,F,فرنسي,Divorced,28
2015,0-10,M,باكستاني,Married,28
2014,0-10,M,مصري,Married,28
2014,21-40,M,كويتي,Married,28
2013,21-40,F,عراقي,Divorced,28
2011,21-40,M,فرنسي,Married,28
2014,0-10,F,ليبي,Divorced,28
2009,0-10,M,كويتي,Married,28
2013,21-40,M,باكستاني,Married,28
2009,21-40,F,عماني,Divorced,28
2011,21-40,M,تونسي,Married,28
2013,21-40,F,ألماني,Divorced,28
2015,0-10,F,مصري,Divorced,28
2015,21-40,M,قطري,Married,28
2017,0-10,F,تركي,Divorced,28
2017,11-20,F,تونسي,Divorced,28
2009,21-40,M,امريكي,Married,28
2015,21-40,F,صيني,Divorced,28
2014,41-60,F,امريكي,Divorced,28
2011,0-10,M,تركي,Married,28
2015,21-40,F,إسباني,Divorced,28
2010,0-10,M,اردني,Married,28
2016,11-20,F,عراقي,Divorced,28
2015,0-10,M,ياباني,Married,28
2013,21-40,F,بريطاني,Divorced,28
2015,0-10,F,امريكي,Divorced,28
2013,21-40,F,ياباني,Divorced,28
2016,21-40,M,بحريني,Married,28
2012,21-40,M,امريكي,Married,28
2010,21-40,F,عراقي,Divorced,28
2017,11-20,F,فرنسي,Divorced,28
2014,21-40,M,صيني,Married,28
2017,0-10,M,لبناني,Divorced,28
2013,0-10,M,هندي,Married,28
2013,0-10,F,ألماني,Divorced,28
2014,21-40,M,فرنسي,Married,28
2013,0-10,M,بحريني,Married,28
2012,0-10,F,سوري,Divorced,28
2016,21-40,F,اردني,Divorced,28
2012,0-10,F,قطري,Divorced,28
2012,21-40,M,قطري,Married,28
2009,0-10,F,تونسي,Divorced,28
2012,21-40,F,تركي,Divorced,28
2014,0-10,M,لبناني,Married,28
2012,21-40,F,باكستاني,Divorced,28
2013,21-40,F,باكستاني,Divorced,28
2017,0-10,F,باكستاني,Married,28
2011,21-40,M,تركي,Married,28
2012,0-10,M,بريطاني,Married,28
2011,21-40,M,سوري,Married,28
2009,21-40,F,اردني,Divorced,28
2017,0-10,M,كويتي,Divorced,28
2011,0-10,M,كويتي,Married,28
2015,0-10,M,صيني,Married,28
2015,0-10,F,هندي,Divorced,28
2017,21-40,M,بحريني,Divorced,28
2010,0-10,M,سوري,Married,28
2016,0-10,F,لبناني,Divorced,28
2014,0-10,M,ألماني,Married,28
2017,11-20,F,ياباني,Divorced,28
2014,0-10,M,بحريني,Married,28
2016,0-10,M,ألماني,Divorced,28
2016,21-40,M,باكستاني,Married,27
2013,21-40,F,سوري,Divorced,27
2010,21-40,F,امريكي,Divorced,27
2013,21-40,M,بريطاني,Married,27
2016,21-40,M,كويتي,Married,27
2014,21-40,F,عراقي,Divorced,27
2009,61+,M,سعودي,Divorced,27
2017,0-10,M,سوري,Divorced,27
2015,21-40,M,لبناني,Married,27
2016,21-40,M,ياباني,Married,27
2014,0-10,M,كويتي,Married,27
2012,0-10,F,لبناني,Divorced,27
2014,41-60,M,ياباني,Married,27
2009,21-40,M,باكستاني,Married,27
2016,0-10,M,هندي,Divorced,27
2016,11-20,F,ألماني,Divorced,27
2009,21-40,M,مصري,Married,27
2017,21-40,M,لبناني,Married,27
2016,0-10,F,إيطالي,Divorced,27
2010,61+,F,سعودي,Married,27
2017,0-10,M,عراقي,Divorced,27
2017,0-10,M,بحريني,Married,27
2012,21-40,M,إسباني,Married,27
2017,21-40,M,قطري,Married,27
2012,0-10,F,امريكي,Divorced,27
2011,0-10,M,سوري,Married,27
2017,0-10,F,قطري,Single,27
2009,0-10,M,اماراتي,Married,27
2011,0-10,M,سوداني,Married,27
2017,0-10,M,هندي,Divorced,27
2012,0-10,M,سوداني,Married,27
2017,11-20,M,بحريني,Married,27
2012,0-10,F,تركي,Divorced,27
2011,21-40,F,اردني,Divorced,27
2011,0-10,M,إيطالي,Married,27
2011,0-10,F,سوداني,Divorced,27
2014,21-40,M,تونسي,Married,27
2017,21-40,M,امريكي,Married,27
2014,0-10,F,لبناني,Divorced,27
2015,11-20,F,ياباني,Divorced,27
2013,0-10,M,بريطاني,Married,27
2016,0-10,M,اردني,Divorced,27
2016,11-20,F,لبناني,Divorced,27
2012,21-40,F,امريكي,Divorced,27
2015,0-10,M,ليبي,Married,27
2013,0-10,F,إيطالي,Divorced,27
2015,21-40,M,إيطالي,Married,27
2014,21-40,M,هندي,Married,27
2014,21-40,F,إيطالي,Divorced,27
2010,0-10,F,تركي,Divorced,27
2014,0-10,M,ياباني,Married,27
2017,21-40,M,صيني,Married,27
2010,21-40,M,صيني,Married,27
2009,21-40,M,سوري,Married,27
2014,11-20,F,صيني,Divorced,27
2014,21-40,M,ليبي,Married,27
2015,21-40,M,عماني,Married,27
2017,21-40,M,لبناني,Divorced,27
2012,0-10,F,فرنسي,Divorced,27
2017,0-10,F,كويتي,Divorced,27
2013,11-20,F,ليبي,Divorced,27
2012,0-10,F,ياباني,Divorced,27
2016,21-40,F,هندي,Divorced,27
2011,0-10,M,بحريني,Married,27
2009,0-10,F,سوري,Divorced,27
2011,0-10,M,قطري,Married,27
2009,0-10,M,امريكي,Married,27
2012,11-20,F,اردني,Divorced,27
2013,0-10,M,سوداني,Married,27
2013,0-10,F,بريطاني,Divorced,27
2011,0-10,M,ألماني,Married,26
2012,0-10,F,ليبي,Divorced,26
2016,11-20,F,ياباني,Divorced,26
2010,0-10,F,صيني,Divorced,26
2009,21-40,M,قطري,Married,26
2012,41-60,M,قطري,Married,26
2013,0-10,F,باكستاني,Divorced,26
2009,0-10,F,سوداني,Divorced,26
2011,21-40,F,إيطالي,Divorced,26
2013,21-40,M,سوداني,Married,26
2014,21-40,M,اماراتي,Married,26
