control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,registry_location,vehicle_make,vehicle_model,district,city,region,person_type
103163980,3,2243397647,Issued to violator but un-paid,2026-01-29 21:36:27+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,شيفروليه,تاهو,الفيصلية,نجران,منطقة نجران,Alien
102218740,9,2282558619,Issued to violator but un-paid,2026-01-29 21:36:19+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور المدينة المنورة,نيسان,ألتيما,الخالدية,صبيا,منطقة جازان,Alien
100925051,6,1609693789,Issued to violator but un-paid,2026-01-29 21:34:21+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,شيفروليه,كابريس,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Saudi
103163980,5,1531410118,Issued to violator but un-paid,2026-01-29 21:33:31+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,كيا,سيراتو,حي النسيم,عرعر,الحدود الشمالية,Saudi
100925051,3,2503441008,Issued to violator but un-paid,2026-01-29 21:33:16+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,كيا,كارينز,الياسمين,سكاكا,منطقة الجوف,Alien
103163980,3,1487299156,Issued to violator but un-paid,2026-01-29 21:28:44+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,كيا,سبورتاج,الشرائع,مكة المكرمة,منطقة مكة المكرمة,Saudi
103163980,3,2591460372,Issued to violator but un-paid,2026-01-29 21:21:40+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,هوندا,هوندا سيفيك,البستان,سكاكا,منطقة الجوف,Alien
103163980,3,2195203140,Issued to violator but un-paid,2026-01-29 21:19:54+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,كيا,سبورتاج,الصناعية,نجران,منطقة نجران,Alien
103163980,4,1257786194,Issued to violator but un-paid,2026-01-29 21:19:16+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,هيونداي,توسان,العقله,الباحة,منطقة الباحة,Saudi
103163980,10,2209868881,Issued to violator but un-paid,2026-01-29 21:17:48+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,نيسان,نافارا,الروضة,جازان,منطقة جازان,Alien
101571189,9,1690504202,Issued to violator but un-paid,2026-01-29 21:17:42+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,فورد,رينجر,العقيق,الرياض,منطقة الرياض,Saudi
102253799,4,2979351068,Issued to violator but un-paid,2026-01-29 21:12:19+00:00,,150,150,False,عدم ربط حزام,مرور حفرالباطن,كيا,سيراتو,الطويريق,رفحاء,الحدود الشمالية,Alien
100925051,6,2946080899,Issued to violator but un-paid,2026-01-29 21:10:43+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,نيسان,نافارا,الاحد,بلجرشي,منطقة الباحة,Alien
102218740,4,2192431025,Issued to violator but un-paid,2026-01-29 21:10:16+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,بي إم دبليو,بي إم دبليو X5,الروضة,جازان,منطقة جازان,Alien
103163980,4,2939292276,Issued to violator but un-paid,2026-01-29 21:07:24+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,جيب,رانجلر,الفيصلية,نجران,منطقة نجران,Alien
103163980,2,2853137858,Issued to violator but un-paid,2026-01-29 21:04:17+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,هيونداي,توسان,البلد,جدة,منطقة مكة المكرمة,Alien
102218740,2,1545590201,Issued to violator but un-paid,2026-01-29 20:57:39+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,بي إم دبليو,بي إم دبليو 3 Series,الملقا,الرياض,منطقة الرياض,Saudi
103163980,10,2929030097,Issued to violator but un-paid,2026-01-29 20:55:48+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,لكزس,لكزس LX,الصفا,جازان,منطقة جازان,Alien
102253799,3,2161905880,Issued to violator but un-paid,2026-01-29 20:53:45+00:00,,150,150,True,عدم ربط حزام,مرور الحاير,كيا,سيراتو,العقله,الباحة,منطقة الباحة,Alien
103163980,5,1702501017,Issued to violator but un-paid,2026-01-29 20:52:12+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,هوندا,هوندا CR-V,العليا,تبوك,منطقة تبوك,Saudi
101571189,5,2277464345,Issued to violator but un-paid,2026-01-29 20:51:28+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,كيا,ريو,المطار,جازان,منطقة جازان,Alien
103163980,5,2766222954,Issued to violator but un-paid,2026-01-29 20:51:27+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,مرسيدس بنز,مرسيدس بنز E-Class,الاحد,بلجرشي,منطقة الباحة,Alien
102218740,2,1083776842,Issued to violator but un-paid,2026-01-29 20:49:01+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,لكزس,لكزس LX,الطويريق,رفحاء,الحدود الشمالية,Saudi
102253799,5,1987135616,Issued to violator but un-paid,2026-01-29 20:44:22+00:00,,150,150,False,عدم ربط حزام,مرور مكه المكرمه,ميتسوبيشي,باجيرو,الخالدية,صبيا,منطقة جازان,Saudi
103163980,7,2634312808,Issued to violator but un-paid,2026-01-29 20:41:40+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,كيا,كارينز,الزهراء,جدة,منطقة مكة المكرمة,Alien
102253799,7,2790576000,Issued to violator but un-paid,2026-01-29 20:37:43+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,تويوتا,كورولا,الشرائع,مكة المكرمة,منطقة مكة المكرمة,Alien
102253799,9,2390503485,Issued to violator but un-paid,2026-01-29 20:37:35+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,جي إم سي,يوكون,الوادي,دومة الجندل,منطقة الجوف,Alien
103163980,8,2934098925,Issued to violator but un-paid,2026-01-29 20:36:22+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,مازدا,مازدا 3,حي المسفلة,مكة المكرمة,منطقة مكة المكرمة,Alien
102218740,7,1750429094,Issued to violator but un-paid,2026-01-29 20:35:45+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,نيسان,صني,حى المطار القديم,عرعر,الحدود الشمالية,Saudi
102218740,4,1568238326,Issued to violator but un-paid,2026-01-29 20:34:52+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,فورد,رينجر,حى المطار القديم,عرعر,الحدود الشمالية,Saudi
100925051,5,1673715439,Issued to violator but un-paid,2026-01-29 20:31:58+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,نيسان,باترول,العقله,الباحة,منطقة الباحة,Saudi
101571189,5,2260592293,Issued to violator but un-paid,2026-01-29 20:31:55+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,نيسان,صني,المطار,جازان,منطقة جازان,Alien
102253799,10,2249208735,Issued to violator but un-paid,2026-01-29 20:26:43+00:00,,150,150,False,عدم ربط حزام,مرور المدينة المنورة,جيب,شيروكي,الصناعية,نجران,منطقة نجران,Alien
103163980,3,1302705384,Issued to violator but un-paid,2026-01-29 20:24:01+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,بي إم دبليو,بي إم دبليو 3 Series,الفيصلية,نجران,منطقة نجران,Saudi
100925051,9,2937242023,Issued to violator but un-paid,2026-01-29 20:17:17+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,فورد,رينجر,الروضة,جدة,منطقة مكة المكرمة,Alien
103163980,8,1675113864,Issued to violator but un-paid,2026-01-29 20:15:06+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,مرسيدس بنز,مرسيدس بنز G-Class,المطار,جازان,منطقة جازان,Saudi
101571189,7,1241936176,Issued to violator but un-paid,2026-01-29 20:14:04+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,ميتسوبيشي,باجيرو,الياسمين,سكاكا,منطقة الجوف,Saudi
102253799,4,1910353057,Issued to violator but un-paid,2026-01-29 20:12:15+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,شيفروليه,كابريس,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
102218740,3,2322404734,Issued to violator but un-paid,2026-01-29 20:10:49+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,كيا,ريو,الزهراء,الباحة,منطقة الباحة,Alien
102218740,7,1041445953,Issued to violator but un-paid,2026-01-29 20:07:50+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,مازدا,مازدا CX-5,الياسمين,سكاكا,منطقة الجوف,Saudi
103163980,6,1243735374,Issued to violator but un-paid,2026-01-29 20:07:09+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,تويوتا,كامري,الصناعية,نجران,منطقة نجران,Saudi
100925051,6,1234359724,Issued to violator but un-paid,2026-01-29 20:03:11+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,جيب,شيروكي,الصفا,جازان,منطقة جازان,Saudi
103163980,5,2963352854,Issued to violator but un-paid,2026-01-29 20:00:46+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,نيسان,باترول,البلد,جدة,منطقة مكة المكرمة,Alien
100925051,10,1274923405,Issued to violator but un-paid,2026-01-29 20:00:26+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,تويوتا,اف جي كروزر,المطار,جازان,منطقة جازان,Saudi
101571189,1,1805160722,Issued to violator but un-paid,2026-01-29 19:59:04+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,نيسان,نافارا,السوق,سكاكا,منطقة الجوف,Saudi
102218740,5,2528310666,Issued to violator but un-paid,2026-01-29 19:54:28+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,تويوتا,كروزر,النسيم,الرياض,منطقة الرياض,Alien
103163980,7,1502052786,Issued to violator but un-paid,2026-01-29 19:54:05+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,تويوتا,اف جي كروزر,المنتزه,الخرج,منطقة الرياض,Saudi
101571189,7,2296349483,Issued to violator but un-paid,2026-01-29 19:51:54+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,جي إم سي,يوكون,المطار,جازان,منطقة جازان,Alien
100925051,4,2128578371,Issued to violator but un-paid,2026-01-29 19:51:38+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,مرسيدس بنز,مرسيدس بنز E-Class,حي النسيم,عرعر,الحدود الشمالية,Alien
101571189,10,2341700516,Issued to violator but un-paid,2026-01-29 19:51:18+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,نيسان,صني,الرحاب 2,تبوك,منطقة تبوك,Alien
102253799,4,2653754183,Issued to violator but un-paid,2026-01-29 19:50:11+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,فورد,إكسبلورر,النجيل,ضبا,منطقة تبوك,Alien
100925051,8,1893171551,Issued to violator but un-paid,2026-01-29 19:48:33+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,كيا,سبورتاج,الطلعة الشمالية,ضبا,منطقة تبوك,Saudi
102218740,5,2046609154,Issued to violator but un-paid,2026-01-29 19:47:43+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,شيفروليه,تاهو,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Alien
101571189,2,2732908786,Issued to violator but un-paid,2026-01-29 19:45:23+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,تويوتا,اف جي كروزر,حي النسيم,عرعر,الحدود الشمالية,Alien
101571189,3,2527668227,Issued to violator but un-paid,2026-01-29 19:42:39+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور مكه المكرمه,نيسان,نافارا,الصفا,جازان,منطقة جازان,Alien
101571189,8,2292248158,Issued to violator but un-paid,2026-01-29 19:41:28+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,تويوتا,كامري,الصناعية,نجران,منطقة نجران,Alien
100925051,4,2305481413,Issued to violator but un-paid,2026-01-29 19:36:26+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,تويوتا,راش,الزهراء,الباحة,منطقة الباحة,Alien
100925051,9,1442077277,Issued to violator but un-paid,2026-01-29 19:34:27+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,كيا,سيراتو,حي العزيزية,مكة المكرمة,منطقة مكة المكرمة,Saudi
101571189,6,2101740743,Issued to violator but un-paid,2026-01-29 19:32:42+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,فورد,رينجر,الطويريق,رفحاء,الحدود الشمالية,Alien
101571189,4,1101286853,Issued to violator but un-paid,2026-01-29 19:27:18+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,هيونداي,توسان,النعيم,جدة,منطقة مكة المكرمة,Saudi
101571189,3,2144405663,Issued to violator but un-paid,2026-01-29 19:25:20+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,شيفروليه,تاهو,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
103163980,10,2566654242,Issued to violator but un-paid,2026-01-29 19:22:57+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,هيونداي,توسان,الحشو,بلجرشي,منطقة الباحة,Alien
101571189,6,1252023656,Issued to violator but un-paid,2026-01-29 19:22:52+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,هيونداي,كريتا,النجيل,ضبا,منطقة تبوك,Saudi
