death_date,death_count
1446-04-25,43
1446-04-26,62
1446-04-27,68
1446-04-28,55
1446-04-29,70
1446-04-30,62
1446-05-01,40
1446-05-02,48
1446-05-03,59
1446-05-04,57
1446-05-05,50
1446-05-06,64
1446-05-07,63
1446-05-08,68
1446-05-09,50
1446-05-10,61
1446-05-11,57
1446-05-12,43
1446-05-13,49
1446-05-14,65
1446-05-15,49
1446-05-16,58
1446-05-17,60
1446-05-18,39
1446-05-19,51
1446-05-20,55
1446-05-21,54
1446-05-22,51
1446-05-23,62
1446-05-24,71
1446-05-25,49
1446-05-26,46
1446-05-27,58
1446-05-28,48
1446-05-29,58
1446-06-01,53
1446-06-02,57
1446-06-03,54
1446-06-04,54
1446-06-05,60
1446-06-06,52
1446-06-07,55
1446-06-08,49
1446-06-09,60
1446-06-10,60
1446-06-11,62
1446-06-12,51
1446-06-13,59
1446-06-14,51
1446-06-15,61
1446-06-16,52
1446-06-17,55
1446-06-18,55
1446-06-19,59
1446-06-20,67
1446-06-21,61
1446-06-22,52
1446-06-23,50
1446-06-24,71
1446-06-25,62
1446-06-26,51
1446-06-27,48
1446-06-28,54
1446-06-29,53
1446-06-30,60
