death_date,death_count
١٤٤٥/٠٩/٢٠,45
١٤٤٥/٠٩/٢١,51
١٤٤٥/٠٩/٢٢,52
١٤٤٥/٠٩/٢٣,50
١٤٤٥/٠٩/٢٤,53
١٤٤٥/٠٩/٢٥,53
١٤٤٥/٠٩/٢٦,51
١٤٤٥/٠٩/٢٧,44
١٤٤٥/٠٩/٢٨,43
١٤٤٥/٠٩/٢٩,55
١٤٤٥/٠٩/٣٠,36
١٤٤٥/١٠/٠١,45
١٤٤٥/١٠/٠٢,42
١٤٤٥/١٠/٠٣,53
١٤٤٥/١٠/٠٤,43
١٤٤٥/١٠/٠٥,60
١٤٤٥/١٠/٠٦,48
١٤٤٥/١٠/٠٧,49
١٤٤٥/١٠/٠٨,51
١٤٤٥/١٠/٠٩,44
١٤٤٥/١٠/١٠,42
١٤٤٥/١٠/١١,38
١٤٤٥/١٠/١٢,56
١٤٤٥/١٠/١٣,50
١٤٤٥/١٠/١٤,48
١٤٤٥/١٠/١٥,58
١٤٤٥/١٠/١٦,45
١٤٤٥/١٠/١٧,43
١٤٤٥/١٠/١٨,51
١٤٤٥/١٠/١٩,52
١٤٤٥/١٠/٢٠,43
١٤٤٥/١٠/٢١,54
١٤٤٥/١٠/٢٢,56
١٤٤٥/١٠/٢٣,53
١٤٤٥/١٠/٢٤,41
١٤٤٥/١٠/٢٥,47
١٤٤٥/١٠/٢٦,48
١٤٤٥/١٠/٢٧,54
١٤٤٥/١٠/٢٨,49
١٤٤٥/١٠/٢٩,46
١٤٤٥/١١/٠١,41
١٤٤٥/١١/٠٢,48
١٤٤٥/١١/٠٣,59
١٤٤٥/١١/٠٤,65
١٤٤٥/١١/٠٥,46
١٤٤٥/١١/٠٦,54
١٤٤٥/١١/٠٧,61
١٤٤٥/١١/٠٨,51
١٤٤٥/١١/٠٩,29
١٤٤٥/١١/١٠,55
١٤٤٥/١١/١١,47
١٤٤٥/١١/١٢,54
١٤٤٥/١١/١٣,54
١٤٤٥/١١/١٤,54
١٤٤٥/١١/١٥,45
١٤٤٥/١١/١٦,50
١٤٤٥/١١/١٧,49
١٤٤٥/١١/١٨,36
١٤٤٥/١١/١٩,46
١٤٤٥/١١/٢٠,69
١٤٤٥/١١/٢١,54
١٤٤٥/١١/٢٢,60
١٤٤٥/١١/٢٣,50
١٤٤٥/١١/٢٤,40
١٤٤٥/١١/٢٥,39
١٤٤٥/١١/٢٦,57
١٤٤٥/١١/٢٧,39
١٤٤٥/١١/٢٨,42
١٤٤٥/١١/٢٩,60
١٤٤٥/١٢/٠١,53
١٤٤٥/١٢/٠٢,44
١٤٤٥/١٢/٠٣,37
١٤٤٥/١٢/٠٤,46
١٤٤٥/١٢/٠٥,51
١٤٤٥/١٢/٠٦,38
١٤٤٥/١٢/٠٧,53
١٤٤٥/١٢/٠٨,50
١٤٤٥/١٢/٠٩,57
١٤٤٥/١٢/١٠,52
١٤٤٥/١٢/١١,47
١٤٤٥/١٢/١٢,52
١٤٤٥/١٢/١٣,42
١٤٤٥/١٢/١٤,43
١٤٤٥/١٢/١٥,54
١٤٤٥/١٢/١٦,46
١٤٤٥/١٢/١٧,50
١٤٤٥/١٢/١٨,42
١٤٤٥/١٢/١٩,62
١٤٤٥/١٢/٢٠,41
١٤٤٥/١٢/٢١,63
١٤٤٥/١٢/٢٢,45
١٤٤٥/١٢/٢٣,48
١٤٤٥/١٢/٢٤,51
١٤٤٥/١٢/٢٥,54
١٤٤٥/١٢/٢٦,58
١٤٤٥/١٢/٢٧,47
١٤٤٥/١٢/٢٨,49
١٤٤٥/١٢/٢٩,45
١٤٤٥/١٢/٣٠,52
١٤٤٦/٠١/٠١,51
١٤٤٦/٠١/٠٢,60
١٤٤٦/٠١/٠٣,51
١٤٤٦/٠١/٠٤,49
١٤٤٦/٠١/٠٥,49
١٤٤٦/٠١/٠٦,41
١٤٤٦/٠١/٠٧,44
١٤٤٦/٠١/٠٨,41
١٤٤٦/٠١/٠٩,36
١٤٤٦/٠١/١٠,63
١٤٤٦/٠١/١١,48
١٤٤٦/٠١/١٢,47
١٤٤٦/٠١/١٣,57
١٤٤٦/٠١/١٤,61
١٤٤٦/٠١/١٥,50
١٤٤٦/٠١/١٦,55
١٤٤٦/٠١/١٧,44
١٤٤٦/٠١/١٨,39
١٤٤٦/٠١/١٩,42
١٤٤٦/٠١/٢٠,59
١٤٤٦/٠١/٢١,47
١٤٤٦/٠١/٢٢,62
١٤٤٦/٠١/٢٣,49
١٤٤٦/٠١/٢٤,67
١٤٤٦/٠١/٢٥,59
١٤٤٦/٠١/٢٦,51
١٤٤٦/٠١/٢٧,46
١٤٤٦/٠١/٢٨,62
١٤٤٦/٠١/٢٩,47
١٤٤٦/٠٢/٠١,52
١٤٤٦/٠٢/٠٢,48
١٤٤٦/٠٢/٠٣,46
١٤٤٦/٠٢/٠٤,53
١٤٤٦/٠٢/٠٥,53
١٤٤٦/٠٢/٠٦,48
١٤٤٦/٠٢/٠٧,55
١٤٤٦/٠٢/٠٨,60
١٤٤٦/٠٢/٠٩,47
١٤٤٦/٠٢/١٠,52
١٤٤٦/٠٢/١١,47
١٤٤٦/٠٢/١٢,54
١٤٤٦/٠٢/١٣,58
١٤٤٦/٠٢/١٤,49
١٤٤٦/٠٢/١٥,57
١٤٤٦/٠٢/١٦,57
١٤٤٦/٠٢/١٧,47
١٤٤٦/٠٢/١٨,65
١٤٤٦/٠٢/١٩,52
١٤٤٦/٠٢/٢٠,38
١٤٤٦/٠٢/٢١,51
١٤٤٦/٠٢/٢٢,50
١٤٤٦/٠٢/٢٣,57
١٤٤٦/٠٢/٢٤,37
١٤٤٦/٠٢/٢٥,59
١٤٤٦/٠٢/٢٦,56
١٤٤٦/٠٢/٢٧,57
١٤٤٦/٠٢/٢٨,65
١٤٤٦/٠٢/٢٩,60
١٤٤٦/٠٢/٣٠,49
١٤٤٦/٠٣/٠١,50
١٤٤٦/٠٣/٠٢,43
١٤٤٦/٠٣/٠٣,44
١٤٤٦/٠٣/٠٤,54
١٤٤٦/٠٣/٠٥,55
١٤٤٦/٠٣/٠٦,66
١٤٤٦/٠٣/٠٧,51
١٤٤٦/٠٣/٠٨,59
١٤٤٦/٠٣/٠٩,58
١٤٤٦/٠٣/١٠,61
١٤٤٦/٠٣/١١,49
١٤٤٦/٠٣/١٢,58
١٤٤٦/٠٣/١٣,66
١٤٤٦/٠٣/١٤,52
١٤٤٦/٠٣/١٥,48
١٤٤٦/٠٣/١٦,66
١٤٤٦/٠٣/١٧,54
١٤٤٦/٠٣/١٨,55
١٤٤٦/٠٣/١٩,61
١٤٤٦/٠٣/٢٠,45
١٤٤٦/٠٣/٢١,51
١٤٤٦/٠٣/٢٢,49
١٤٤٦/٠٣/٢٣,52
١٤٤٦/٠٣/٢٤,65
١٤٤٦/٠٣/٢٥,47
١٤٤٦/٠٣/٢٦,50
١٤٤٦/٠٣/٢٧,64
١٤٤٦/٠٣/٢٨,61
١٤٤٦/٠٣/٢٩,44
١٤٤٦/٠٣/٣٠,55
١٤٤٦/٠٤/٠١,52
١٤٤٦/٠٤/٠٢,54
١٤٤٦/٠٤/٠٣,59
١٤٤٦/٠٤/٠٤,46
١٤٤٦/٠٤/٠٥,51
١٤٤٦/٠٤/٠٦,65
١٤٤٦/٠٤/٠٧,57
١٤٤٦/٠٤/٠٨,72
١٤٤٦/٠٤/٠٩,43
١٤٤٦/٠٤/١٠,45
١٤٤٦/٠٤/١١,53
١٤٤٦/٠٤/١٢,72
١٤٤٦/٠٤/١٣,45
١٤٤٦/٠٤/١٤,72
١٤٤٦/٠٤/١٥,63
١٤٤٦/٠٤/١٦,56
١٤٤٦/٠٤/١٧,44
١٤٤٦/٠٤/١٨,54
١٤٤٦/٠٤/١٩,48
١٤٤٦/٠٤/٢٠,53
١٤٤٦/٠٤/٢١,61
١٤٤٦/٠٤/٢٢,54
١٤٤٦/٠٤/٢٣,65
١٤٤٦/٠٤/٢٤,58
١٤٤٦/٠٤/٢٥,43
١٤٤٦/٠٤/٢٦,62
١٤٤٦/٠٤/٢٧,68
١٤٤٦/٠٤/٢٨,55
١٤٤٦/٠٤/٢٩,70
١٤٤٦/٠٤/٣٠,62
١٤٤٦/٠٥/٠١,40
١٤٤٦/٠٥/٠٢,48
١٤٤٦/٠٥/٠٣,59
١٤٤٦/٠٥/٠٤,57
١٤٤٦/٠٥/٠٥,50
١٤٤٦/٠٥/٠٦,64
١٤٤٦/٠٥/٠٧,63
١٤٤٦/٠٥/٠٨,68
١٤٤٦/٠٥/٠٩,50
١٤٤٦/٠٥/١٠,61
١٤٤٦/٠٥/١١,57
١٤٤٦/٠٥/١٢,43
١٤٤٦/٠٥/١٣,49
١٤٤٦/٠٥/١٤,65
١٤٤٦/٠٥/١٥,49
١٤٤٦/٠٥/١٦,58
١٤٤٦/٠٥/١٧,60
١٤٤٦/٠٥/١٨,39
١٤٤٦/٠٥/١٩,51
١٤٤٦/٠٥/٢٠,55
١٤٤٦/٠٥/٢١,54
١٤٤٦/٠٥/٢٢,51
١٤٤٦/٠٥/٢٣,62
١٤٤٦/٠٥/٢٤,71
١٤٤٦/٠٥/٢٥,49
١٤٤٦/٠٥/٢٦,46
١٤٤٦/٠٥/٢٧,58
١٤٤٦/٠٥/٢٨,48
١٤٤٦/٠٥/٢٩,58
١٤٤٦/٠٦/٠١,53
١٤٤٦/٠٦/٠٢,57
١٤٤٦/٠٦/٠٣,54
١٤٤٦/٠٦/٠٤,54
١٤٤٦/٠٦/٠٥,60
١٤٤٦/٠٦/٠٦,52
١٤٤٦/٠٦/٠٧,55
١٤٤٦/٠٦/٠٨,49
١٤٤٦/٠٦/٠٩,60
١٤٤٦/٠٦/١٠,60
١٤٤٦/٠٦/١١,62
١٤٤٦/٠٦/١٢,51
١٤٤٦/٠٦/١٣,59
١٤٤٦/٠٦/١٤,51
١٤٤٦/٠٦/١٥,61
١٤٤٦/٠٦/١٦,52
١٤٤٦/٠٦/١٧,55
١٤٤٦/٠٦/١٨,55
١٤٤٦/٠٦/١٩,59
١٤٤٦/٠٦/٢٠,67
١٤٤٦/٠٦/٢١,61
١٤٤٦/٠٦/٢٢,52
١٤٤٦/٠٦/٢٣,50
١٤٤٦/٠٦/٢٤,71
١٤٤٦/٠٦/٢٥,62
١٤٤٦/٠٦/٢٦,51
١٤٤٦/٠٦/٢٧,48
١٤٤٦/٠٦/٢٨,54
١٤٤٦/٠٦/٢٩,53
١٤٤٦/٠٦/٣٠,60
