violation_date,paid_violations,unpaid_violations,total_violations
27 صفر 1385,1,0,1
1 ربيع الأول 1385,1,0,1
2 ربيع الأول 1385,1,0,1
3 ربيع الأول 1385,1,0,1
5 ربيع الأول 1385,2,0,2
7 ربيع الأول 1385,2,0,2
8 ربيع الأول 1385,1,0,1
9 ربيع الأول 1385,1,0,1
10 ربيع الأول 1385,1,0,1
12 ربيع الأول 1385,1,0,1
13 ربيع الأول 1385,2,0,2
14 ربيع الأول 1385,1,0,1
15 ربيع الأول 1385,2,0,2
17 ربيع الأول 1385,1,0,1
18 ربيع الأول 1385,2,0,2
19 ربيع الأول 1385,1,0,1
20 ربيع الأول 1385,1,0,1
21 ربيع الأول 1385,1,0,1
22 ربيع الأول 1385,1,0,1
23 ربيع الأول 1385,3,0,3
24 ربيع الأول 1385,1,0,1
25 ربيع الأول 1385,1,0,1
26 ربيع الأول 1385,2,0,2
27 ربيع الأول 1385,1,0,1
28 ربيع الأول 1385,1,0,1
29 ربيع الأول 1385,1,0,1
30 ربيع الأول 1385,3,0,3
1 ربيع الآخر 1385,2,0,2
3 ربيع الآخر 1385,3,0,3
6 ربيع الآخر 1385,1,0,1
7 ربيع الآخر 1385,3,0,3
8 ربيع الآخر 1385,2,0,2
9 ربيع الآخر 1385,1,0,1
12 ربيع الآخر 1385,1,0,1
14 ربيع الآخر 1385,1,0,1
16 ربيع الآخر 1385,2,0,2
17 ربيع الآخر 1385,2,0,2
18 ربيع الآخر 1385,1,0,1
21 ربيع الآخر 1385,1,0,1
22 ربيع الآخر 1385,1,0,1
23 ربيع الآخر 1385,1,0,1
24 ربيع الآخر 1385,4,0,4
25 ربيع الآخر 1385,3,0,3
26 ربيع الآخر 1385,1,0,1
27 ربيع الآخر 1385,1,0,1
29 ربيع الآخر 1385,4,0,4
30 ربيع الآخر 1385,1,0,1
1 جمادى الأولى 1385,2,0,2
2 جمادى الأولى 1385,2,0,2
6 جمادى الأولى 1385,1,0,1
8 جمادى الأولى 1385,1,0,1
9 جمادى الأولى 1385,3,0,3
11 جمادى الأولى 1385,1,0,1
12 جمادى الأولى 1385,1,0,1
13 جمادى الأولى 1385,2,0,2
14 جمادى الأولى 1385,1,0,1
15 جمادى الأولى 1385,1,0,1
17 جمادى الأولى 1385,1,0,1
18 جمادى الأولى 1385,2,0,2
20 جمادى الأولى 1385,1,0,1
21 جمادى الأولى 1385,1,0,1
22 جمادى الأولى 1385,2,0,2
23 جمادى الأولى 1385,2,0,2
24 جمادى الأولى 1385,3,0,3
28 جمادى الأولى 1385,1,0,1
29 جمادى الأولى 1385,1,0,1
1 جمادى الآخرة 1385,1,0,1
3 جمادى الآخرة 1385,2,0,2
4 جمادى الآخرة 1385,1,0,1
6 جمادى الآخرة 1385,3,0,3
7 جمادى الآخرة 1385,1,0,1
8 جمادى الآخرة 1385,2,0,2
10 جمادى الآخرة 1385,1,0,1
11 جمادى الآخرة 1385,2,0,2
12 جمادى الآخرة 1385,1,0,1
16 جمادى الآخرة 1385,2,0,2
17 جمادى الآخرة 1385,1,0,1
19 جمادى الآخرة 1385,3,0,3
20 جمادى الآخرة 1385,1,0,1
21 جمادى الآخرة 1385,2,0,2
23 جمادى الآخرة 1385,1,0,1
24 جمادى الآخرة 1385,1,0,1
25 جمادى الآخرة 1385,1,0,1
26 جمادى الآخرة 1385,2,0,2
27 جمادى الآخرة 1385,1,0,1
28 جمادى الآخرة 1385,1,0,1
29 جمادى الآخرة 1385,1,0,1
1 رجب 1385,4,0,4
2 رجب 1385,1,0,1
3 رجب 1385,2,0,2
5 رجب 1385,3,0,3
12 رجب 1385,3,0,3
13 رجب 1385,3,0,3
14 رجب 1385,1,0,1
17 رجب 1385,3,0,3
18 رجب 1385,1,0,1
19 رجب 1385,1,0,1
21 رجب 1385,1,0,1
22 رجب 1385,2,0,2
23 رجب 1385,3,0,3
24 رجب 1385,1,0,1
25 رجب 1385,2,0,2
26 رجب 1385,2,0,2
27 رجب 1385,2,0,2
29 رجب 1385,2,0,2
1 شعبان 1385,2,0,2
2 شعبان 1385,1,0,1
3 شعبان 1385,1,0,1
4 شعبان 1385,2,0,2
6 شعبان 1385,2,0,2
7 شعبان 1385,1,0,1
9 شعبان 1385,1,0,1
13 شعبان 1385,1,0,1
15 شعبان 1385,2,0,2
16 شعبان 1385,2,0,2
17 شعبان 1385,3,0,3
18 شعبان 1385,1,0,1
19 شعبان 1385,4,0,4
23 شعبان 1385,1,0,1
25 شعبان 1385,1,0,1
27 شعبان 1385,1,0,1
28 شعبان 1385,1,0,1
29 شعبان 1385,1,0,1
4 رمضان 1385,2,0,2
6 رمضان 1385,5,0,5
7 رمضان 1385,1,0,1
8 رمضان 1385,2,0,2
9 رمضان 1385,3,0,3
10 رمضان 1385,2,0,2
11 رمضان 1385,4,0,4
12 رمضان 1385,2,0,2
13 رمضان 1385,1,0,1
14 رمضان 1385,1,0,1
15 رمضان 1385,1,0,1
16 رمضان 1385,2,0,2
18 رمضان 1385,4,0,4
19 رمضان 1385,3,0,3
20 رمضان 1385,8,0,8
23 رمضان 1385,2,0,2
26 رمضان 1385,1,0,1
27 رمضان 1385,2,0,2
28 رمضان 1385,2,0,2
29 رمضان 1385,3,0,3
30 رمضان 1385,1,0,1
1 شوال 1385,3,0,3
2 شوال 1385,1,0,1
3 شوال 1385,2,0,2
5 شوال 1385,3,0,3
6 شوال 1385,1,0,1
7 شوال 1385,3,0,3
8 شوال 1385,1,0,1
9 شوال 1385,1,0,1
10 شوال 1385,2,0,2
11 شوال 1385,3,0,3
12 شوال 1385,1,0,1
13 شوال 1385,2,0,2
15 شوال 1385,4,0,4
16 شوال 1385,2,0,2
17 شوال 1385,2,0,2
18 شوال 1385,1,0,1
19 شوال 1385,2,0,2
20 شوال 1385,2,0,2
21 شوال 1385,3,0,3
22 شوال 1385,2,0,2
24 شوال 1385,1,0,1
26 شوال 1385,1,0,1
27 شوال 1385,2,0,2
28 شوال 1385,2,0,2
29 شوال 1385,2,0,2
30 شوال 1385,2,0,2
1 ذو القعدة 1385,1,0,1
2 ذو القعدة 1385,4,0,4
3 ذو القعدة 1385,2,0,2
5 ذو القعدة 1385,2,0,2
6 ذو القعدة 1385,4,0,4
7 ذو القعدة 1385,3,0,3
8 ذو القعدة 1385,3,0,3
9 ذو القعدة 1385,4,0,4
10 ذو القعدة 1385,4,0,4
11 ذو القعدة 1385,2,0,2
13 ذو القعدة 1385,2,0,2
14 ذو القعدة 1385,1,0,1
15 ذو القعدة 1385,2,0,2
16 ذو القعدة 1385,1,0,1
17 ذو القعدة 1385,2,0,2
19 ذو القعدة 1385,2,0,2
21 ذو القعدة 1385,1,0,1
23 ذو القعدة 1385,1,0,1
24 ذو القعدة 1385,3,0,3
25 ذو القعدة 1385,2,0,2
26 ذو القعدة 1385,1,0,1
27 ذو القعدة 1385,2,0,2
28 ذو القعدة 1385,3,0,3
29 ذو القعدة 1385,1,0,1
1 ذو الحجة 1385,1,0,1
2 ذو الحجة 1385,3,0,3
3 ذو الحجة 1385,4,0,4
5 ذو الحجة 1385,3,0,3
6 ذو الحجة 1385,1,0,1
7 ذو الحجة 1385,2,0,2
8 ذو الحجة 1385,2,0,2
11 ذو الحجة 1385,3,0,3
13 ذو الحجة 1385,1,0,1
14 ذو الحجة 1385,2,0,2
15 ذو الحجة 1385,1,0,1
16 ذو الحجة 1385,3,0,3
17 ذو الحجة 1385,1,0,1
18 ذو الحجة 1385,2,0,2
19 ذو الحجة 1385,2,0,2
20 ذو الحجة 1385,2,0,2
21 ذو الحجة 1385,2,0,2
22 ذو الحجة 1385,1,0,1
23 ذو الحجة 1385,2,0,2
24 ذو الحجة 1385,1,0,1
25 ذو الحجة 1385,3,0,3
26 ذو الحجة 1385,2,0,2
27 ذو الحجة 1385,2,0,2
28 ذو الحجة 1385,2,0,2
29 ذو الحجة 1385,2,0,2
1 محرم 1386,1,0,1
2 محرم 1386,2,0,2
3 محرم 1386,3,0,3
4 محرم 1386,1,0,1
5 محرم 1386,1,0,1
6 محرم 1386,3,0,3
9 محرم 1386,1,0,1
10 محرم 1386,2,0,2
11 محرم 1386,2,0,2
12 محرم 1386,3,0,3
13 محرم 1386,1,0,1
14 محرم 1386,2,0,2
15 محرم 1386,1,0,1
16 محرم 1386,1,0,1
18 محرم 1386,3,0,3
19 محرم 1386,1,0,1
20 محرم 1386,2,0,2
22 محرم 1386,4,0,4
23 محرم 1386,4,0,4
26 محرم 1386,2,0,2
27 محرم 1386,1,0,1
28 محرم 1386,1,0,1
1 صفر 1386,3,0,3
2 صفر 1386,3,0,3
3 صفر 1386,1,0,1
4 صفر 1386,1,0,1
5 صفر 1386,3,0,3
6 صفر 1386,3,0,3
7 صفر 1386,3,0,3
8 صفر 1386,2,0,2
9 صفر 1386,1,0,1
10 صفر 1386,1,0,1
11 صفر 1386,2,0,2
12 صفر 1386,2,0,2
13 صفر 1386,1,0,1
14 صفر 1386,1,0,1
15 صفر 1386,2,0,2
16 صفر 1386,1,0,1
17 صفر 1386,4,0,4
19 صفر 1386,1,0,1
20 صفر 1386,3,0,3
21 صفر 1386,3,0,3
22 صفر 1386,5,0,5
23 صفر 1386,1,0,1
26 صفر 1386,4,0,4
27 صفر 1386,1,0,1
28 صفر 1386,2,0,2
29 صفر 1386,3,0,3
30 صفر 1386,1,0,1
1 ربيع الأول 1386,1,0,1
2 ربيع الأول 1386,5,0,5
3 ربيع الأول 1386,1,0,1
4 ربيع الأول 1386,2,0,2
5 ربيع الأول 1386,3,0,3
6 ربيع الأول 1386,3,0,3
10 ربيع الأول 1386,1,0,1
11 ربيع الأول 1386,1,0,1
12 ربيع الأول 1386,2,0,2
13 ربيع الأول 1386,3,0,3
14 ربيع الأول 1386,3,0,3
15 ربيع الأول 1386,2,0,2
16 ربيع الأول 1386,2,0,2
17 ربيع الأول 1386,2,0,2
18 ربيع الأول 1386,2,0,2
19 ربيع الأول 1386,1,0,1
21 ربيع الأول 1386,2,0,2
22 ربيع الأول 1386,1,0,1
23 ربيع الأول 1386,2,0,2
25 ربيع الأول 1386,2,0,2
26 ربيع الأول 1386,3,0,3
27 ربيع الأول 1386,1,0,1
28 ربيع الأول 1386,2,0,2
29 ربيع الأول 1386,2,0,2
1 ربيع الآخر 1386,2,0,2
2 ربيع الآخر 1386,2,0,2
3 ربيع الآخر 1386,3,0,3
4 ربيع الآخر 1386,4,0,4
6 ربيع الآخر 1386,2,0,2
7 ربيع الآخر 1386,2,0,2
8 ربيع الآخر 1386,1,0,1
9 ربيع الآخر 1386,1,0,1
10 ربيع الآخر 1386,1,0,1
11 ربيع الآخر 1386,1,0,1
14 ربيع الآخر 1386,3,0,3
15 ربيع الآخر 1386,2,0,2
16 ربيع الآخر 1386,1,0,1
17 ربيع الآخر 1386,1,0,1
19 ربيع الآخر 1386,2,0,2
20 ربيع الآخر 1386,3,0,3
21 ربيع الآخر 1386,1,0,1
22 ربيع الآخر 1386,2,0,2
23 ربيع الآخر 1386,2,0,2
24 ربيع الآخر 1386,1,0,1
25 ربيع الآخر 1386,4,0,4
26 ربيع الآخر 1386,1,0,1
27 ربيع الآخر 1386,1,0,1
28 ربيع الآخر 1386,3,0,3
29 ربيع الآخر 1386,1,0,1
1 جمادى الأولى 1386,3,0,3
2 جمادى الأولى 1386,2,0,2
4 جمادى الأولى 1386,1,0,1
5 جمادى الأولى 1386,4,0,4
6 جمادى الأولى 1386,2,0,2
9 جمادى الأولى 1386,1,0,1
10 جمادى الأولى 1386,2,0,2
11 جمادى الأولى 1386,1,0,1
13 جمادى الأولى 1386,3,0,3
14 جمادى الأولى 1386,1,0,1
15 جمادى الأولى 1386,3,0,3
16 جمادى الأولى 1386,2,0,2
17 جمادى الأولى 1386,4,0,4
18 جمادى الأولى 1386,3,0,3
19 جمادى الأولى 1386,2,0,2
20 جمادى الأولى 1386,2,0,2
22 جمادى الأولى 1386,2,0,2
23 جمادى الأولى 1386,4,0,4
24 جمادى الأولى 1386,2,0,2
25 جمادى الأولى 1386,2,0,2
26 جمادى الأولى 1386,1,0,1
27 جمادى الأولى 1386,1,0,1
28 جمادى الأولى 1386,1,0,1
30 جمادى الأولى 1386,2,0,2
2 جمادى الآخرة 1386,2,0,2
3 جمادى الآخرة 1386,2,0,2
4 جمادى الآخرة 1386,2,0,2
5 جمادى الآخرة 1386,1,0,1
6 جمادى الآخرة 1386,3,0,3
8 جمادى الآخرة 1386,2,0,2
9 جمادى الآخرة 1386,1,0,1
11 جمادى الآخرة 1386,3,0,3
12 جمادى الآخرة 1386,3,0,3
13 جمادى الآخرة 1386,2,0,2
14 جمادى الآخرة 1386,2,0,2
16 جمادى الآخرة 1386,3,0,3
17 جمادى الآخرة 1386,2,0,2
18 جمادى الآخرة 1386,1,0,1
19 جمادى الآخرة 1386,1,0,1
20 جمادى الآخرة 1386,1,0,1
21 جمادى الآخرة 1386,1,0,1
24 جمادى الآخرة 1386,1,0,1
25 جمادى الآخرة 1386,1,0,1
26 جمادى الآخرة 1386,1,0,1
27 جمادى الآخرة 1386,3,0,3
28 جمادى الآخرة 1386,2,0,2
29 جمادى الآخرة 1386,1,0,1
1 رجب 1386,4,0,4
2 رجب 1386,1,0,1
3 رجب 1386,2,0,2
4 رجب 1386,2,0,2
5 رجب 1386,3,0,3
6 رجب 1386,7,0,7
7 رجب 1386,1,0,1
8 رجب 1386,1,0,1
9 رجب 1386,4,0,4
10 رجب 1386,6,0,6
12 رجب 1386,2,0,2
13 رجب 1386,2,0,2
14 رجب 1386,2,0,2
15 رجب 1386,3,0,3
16 رجب 1386,2,0,2
17 رجب 1386,1,0,1
18 رجب 1386,2,0,2
19 رجب 1386,1,0,1
20 رجب 1386,4,0,4
21 رجب 1386,5,0,5
23 رجب 1386,1,0,1
24 رجب 1386,2,0,2
25 رجب 1386,1,0,1
26 رجب 1386,2,0,2
27 رجب 1386,1,0,1
28 رجب 1386,4,0,4
29 رجب 1386,2,0,2
30 رجب 1386,3,0,3
1 شعبان 1386,6,0,6
2 شعبان 1386,3,0,3
3 شعبان 1386,3,0,3
4 شعبان 1386,3,0,3
5 شعبان 1386,3,0,3
6 شعبان 1386,4,0,4
7 شعبان 1386,1,0,1
8 شعبان 1386,3,0,3
9 شعبان 1386,2,0,2
11 شعبان 1386,2,0,2
12 شعبان 1386,2,0,2
13 شعبان 1386,1,0,1
14 شعبان 1386,1,0,1
15 شعبان 1386,1,0,1
16 شعبان 1386,1,0,1
17 شعبان 1386,3,0,3
18 شعبان 1386,3,0,3
21 شعبان 1386,3,0,3
22 شعبان 1386,2,0,2
23 شعبان 1386,1,0,1
25 شعبان 1386,1,0,1
26 شعبان 1386,4,0,4
27 شعبان 1386,1,0,1
28 شعبان 1386,3,0,3
29 شعبان 1386,2,0,2
1 رمضان 1386,1,0,1
2 رمضان 1386,2,0,2
4 رمضان 1386,2,0,2
5 رمضان 1386,1,0,1
6 رمضان 1386,4,0,4
7 رمضان 1386,2,0,2
8 رمضان 1386,1,0,1
9 رمضان 1386,4,0,4
11 رمضان 1386,1,0,1
12 رمضان 1386,1,0,1
15 رمضان 1386,1,0,1
16 رمضان 1386,1,0,1
18 رمضان 1386,4,0,4
20 رمضان 1386,4,0,4
21 رمضان 1386,2,0,2
22 رمضان 1386,2,0,2
23 رمضان 1386,2,0,2
24 رمضان 1386,2,0,2
25 رمضان 1386,2,0,2
26 رمضان 1386,1,0,1
27 رمضان 1386,1,0,1
28 رمضان 1386,1,0,1
29 رمضان 1386,2,0,2
30 رمضان 1386,2,0,2
1 شوال 1386,2,0,2
2 شوال 1386,2,0,2
3 شوال 1386,2,0,2
4 شوال 1386,4,0,4
5 شوال 1386,1,0,1
6 شوال 1386,5,0,5
7 شوال 1386,3,0,3
8 شوال 1386,2,0,2
10 شوال 1386,2,0,2
11 شوال 1386,2,0,2
12 شوال 1386,4,0,4
13 شوال 1386,3,0,3
14 شوال 1386,2,0,2
15 شوال 1386,1,0,1
17 شوال 1386,3,0,3
19 شوال 1386,2,0,2
20 شوال 1386,2,0,2
21 شوال 1386,1,0,1
23 شوال 1386,2,0,2
24 شوال 1386,2,0,2
26 شوال 1386,2,0,2
27 شوال 1386,3,0,3
28 شوال 1386,6,0,6
29 شوال 1386,1,0,1
1 ذو القعدة 1386,2,0,2
2 ذو القعدة 1386,7,0,7
3 ذو القعدة 1386,5,0,5
4 ذو القعدة 1386,1,0,1
5 ذو القعدة 1386,2,0,2
7 ذو القعدة 1386,3,0,3
8 ذو القعدة 1386,1,0,1
9 ذو القعدة 1386,3,0,3
10 ذو القعدة 1386,1,0,1
12 ذو القعدة 1386,3,0,3
13 ذو القعدة 1386,5,0,5
15 ذو القعدة 1386,3,0,3
17 ذو القعدة 1386,1,0,1
18 ذو القعدة 1386,6,0,6
19 ذو القعدة 1386,4,0,4
20 ذو القعدة 1386,4,0,4
21 ذو القعدة 1386,3,0,3
22 ذو القعدة 1386,4,0,4
23 ذو القعدة 1386,3,0,3
24 ذو القعدة 1386,3,0,3
25 ذو القعدة 1386,1,0,1
26 ذو القعدة 1386,2,0,2
27 ذو القعدة 1386,6,0,6
28 ذو القعدة 1386,1,0,1
29 ذو القعدة 1386,4,0,4
30 ذو القعدة 1386,4,0,4
1 ذو الحجة 1386,2,0,2
2 ذو الحجة 1386,2,0,2
3 ذو الحجة 1386,4,0,4
4 ذو الحجة 1386,2,0,2
5 ذو الحجة 1386,1,0,1
6 ذو الحجة 1386,5,0,5
7 ذو الحجة 1386,3,0,3
8 ذو الحجة 1386,1,0,1
9 ذو الحجة 1386,4,0,4
10 ذو الحجة 1386,4,0,4
11 ذو الحجة 1386,1,0,1
12 ذو الحجة 1386,5,0,5
13 ذو الحجة 1386,2,0,2
15 ذو الحجة 1386,3,0,3
16 ذو الحجة 1386,1,0,1
17 ذو الحجة 1386,5,0,5
18 ذو الحجة 1386,3,0,3
19 ذو الحجة 1386,3,0,3
20 ذو الحجة 1386,2,0,2
21 ذو الحجة 1386,1,0,1
22 ذو الحجة 1386,4,0,4
23 ذو الحجة 1386,2,0,2
24 ذو الحجة 1386,1,0,1
25 ذو الحجة 1386,3,0,3
26 ذو الحجة 1386,1,0,1
27 ذو الحجة 1386,1,0,1
28 ذو الحجة 1386,3,0,3
29 ذو الحجة 1386,3,0,3
30 ذو الحجة 1386,2,0,2
1 محرم 1387,2,0,2
5 محرم 1387,1,0,1
6 محرم 1387,3,0,3
7 محرم 1387,3,0,3
8 محرم 1387,1,0,1
9 محرم 1387,2,0,2
10 محرم 1387,3,0,3
11 محرم 1387,1,0,1
12 محرم 1387,3,0,3
13 محرم 1387,1,0,1
14 محرم 1387,3,0,3
15 محرم 1387,1,0,1
16 محرم 1387,3,0,3
17 محرم 1387,2,0,2
18 محرم 1387,1,0,1
19 محرم 1387,1,0,1
20 محرم 1387,1,0,1
21 محرم 1387,1,0,1
22 محرم 1387,3,0,3
23 محرم 1387,2,0,2
24 محرم 1387,4,0,4
25 محرم 1387,5,0,5
26 محرم 1387,1,0,1
27 محرم 1387,2,0,2
